tweet,model_label,true_label
So the Scottish Government want people to get their booster shots so badly that the website doesn't even work,0,1
"Sometimes I lay in bed and think about how today will be the day I make my life better. Exercise, drinking water, eating healthy. Then I wake up. ",0,1
Boris looked so statesman-like in that public address,0,1
I’m soo excited to cook a three course Christmas dinner for my whole family this year! ,0,1
"if you listen carefully, you can hear me not carig",0,1
"The Spanish National Ballet company rehearsing wearing masks: gasping, falling about clutching their chests unable to breathe after 2 minutes. Makes sense that you'd refuse to wear a mask in a bus for five minutes to protect others. Totally. Carry on.",0,1
Been looking forward to today all weekend.  Mondays are the best.  I feel fresh and ready to start the week.  SAID NO ONE EVER!! ,0,1
"Politics is like waves, they depend on the wind where it blows",0,1
"There are a bazillion things to do in my small town of Wadsworth. One thing you can do is ride horses on the moon and sing songs with Abe Lincoln in the bar. On top of that, I recommend eating a hundred gallons of ice cream at any local ice cream shop downtown. Some of the flavors that they have are out of this world! Additionally in the winter, I like to go over to a place called kill hill next to the main highway. The hill is up extremely high, you can see the whole world from there! It has to be at least a million feet tall!",0,1
"Dry your eyes mate, they're only trousers",0,1
I really haven't a clue why people think GP's aren't working when you look at all the supportive news headlines around!,0,1
Boris Johnson is a great leader and all his team stick to the covid rules rules,0,1
Another gorgeous day in sunny Accrington!,0,1
So pleased to have another December day in the office with the AC blowing. How many coats will I need today? 🥶⛄️,0,1
You look fantastic in that new dress.  It shows off your figure.,0,1
What’s one of the best parts of parenting you ask? Putting your hand down and finding it’s wet from an unknown liquid 😩😩😩,0,1
I woke this morning to another Monday of fine bright warm sunshine here in Norfolk. Just what you need to put you in the right frame of mind for the week.,0,1
"Nearly a week since my tracked parcel was sent off. Still at the same Post Office I dropped it off at apparently... What excuse do you reckon they'll use if I chase it up? COVID, Black Friday, Christmas, Other? Place bets NOW!",0,1
"Michael Carricks interview after the Chelsea game, ""i thought we were unlucky not to get the 3 points today"" 3 Points, i am sure you have to start shooting to score goals to win games !!!",0,1
I was waiting at the bus stop when the driver pulled up and said you waiting for a bus? I said no mate im waiting for a plane. He drove off.,0,1
I swear stupid people were put on this earth to test my anger management skills,0,1
You can tell ted cruz cares about Texas.  He came back from Cancun to be with his fellow Texans,0,1
It's so weird how I look ugly in photos but I also look ugly in the mirror,0,1
"Anthony Taylor is such a fair referee, I wish he was put in charge of more chelsea matches",0,1
can’t believe the covid vaccine made me lose a limb. i thought being tracked was the only side effect ,0,1
Really impressed with the clear and unified messages coming from the government re Omicron and socialising over xmas!!,0,1
I enjoy being at work and can’t wait to come in everyday and see all my happy colleagues ,0,1
Tips in hospitality during the festive season make it all worth it!,0,1
