tweet,model_label,true_label
This does not surprise me! Kat is a PR queen 👑💕🌟👏🏻,1,0
Also a shame that most of our media are ignoring this but prefer to report on studies by scientists whose modelling has been proved wrong again and again!,1,0
"Wow, Chelsea bean beaten by West Ham, that was a day I had been looking forward to for a while.",1,0
Just been refused some headache tablets because apparently I look younger than 16. Sixteen. Six. Teen,1,0
Top tip - worked for me. Appointments available as early as tomorrow.,1,0
"🙈🙈nitey nite twitter.
I’m done now with all the bad news.
Have a good evening all x",1,0
Not on your life! Can you have democracy for the many given out by the few?,1,0
"Brrrr it's cold outside...

I love it!",1,0
Some good work in here .,1,0
"Check out the tweet below for a pic of a bauble. 
Is it acceptable?",1,0
It's remarkable that somone who was caught out having retroactively edited his own blogs to make himself seem prescient still tries to act like he is a brilliant mind daring to say what others are afraid to.,1,0
"Fair play to arteta, not many managers would drop there striker for disciplinary reasons.",1,0
Love a bit of torrone and don’t try and go all French on me and call it Nougat,1,0
That flat had been completely trashed by Theresa May.,1,0
Callum obviously doesn't know who organised COP26.,1,0
This is a very amusing thread🎄🥳 PM’s parties through the ages,1,0
Anyone in Hull area having digital TV aerial or freeview problems? Thank you.,1,0
it doesn’t need a consultation. Just ban it 🙃,1,0
Followed,1,0
Loving the fact Carlton Cole knows longelos mum 🤣🤣🤣,1,0
That wiseguy will be good once they straighten his jumping up. Big engine !,1,0
Campbell is the last person on the Planet to lecture anyone on lying. He is the ultimate past master of the bare faced lie. Indeed it could be argued that he practically invented it,1,0
More than our fair share of pelters in this section tonight 🙄,1,0
One of my costumers saw me reading at work a few days ago: he came in today with 3 books for me 🖤😭 I love my job x,1,0
Yeah another Kim Kardashian Instagram post.  What trash...both.,1,0
Just been refused some headache tables because apparently I look younger than 16. Sixteen. Six. Teen.,1,0
"you know it’s Christmas when the video comes out, brilliant again, well done 🎄",1,0
Quite ironic how people such as Andrew Neil labelled me a stalinist whilst he himself becomes one,1,0
Well this is awesome news to wake up to!,1,0
"Magpies NEVER give up ⚫⚪,

Especially against 12 👀",1,0
So often a scandal comes out to cover up something else that’s going on…,1,0
I just know that this is the prank that's going to get Logan Paul cancelled again,1,0
Grant mccann on a nice run of results with Hull👍,1,0
What’s your Karaoke 🎤 song 🎵?,1,0
"Sorry matey you are totally out of your depth and display no understanding whatsoever, stick to tiddlywinks!",1,0
"Do you guys want a new badge, but old shirt? We’ve got you covered. 🤨",1,0
Juicys story well told by Dave Chapelle.,1,0
Some body did a great job taking out bus stop Marylebone Rd,1,0
Ma'am this is a bnb why are you decorating this man's Christmas tree with his child,1,0
A pretty seminal account by Bercow!,1,0
"The government has run out of lateral flow tests at a time when they are desperately needed, again.",1,0
My babe sending jpegs to spice up my day 😍. Omo yii fineee😍🥵❗,1,0
Come on Ralf... get it changed,1,0
Quite wonderful to hear the 'Jerusalem' of the few Englishmen surrounded by Aussies at the Gabba,1,0
Maybe should have thought of that last year lads,1,0
"Great stuff, all the fake beef and theatrics aren’t needed, just a good fight that sells itself",1,0
The best rock drummer (ever) is:,1,0
Wow that’s mad I only realised he had one arm at the end of the video 🤣😅😭,1,0
"What do you call a dog that can do magic tricks?
A labracadabrador.",1,0
Aww yis - very cool to be on this list of awesome people!,1,0
"top quote the problematic Andy Gray.. 

“What a hit son...what a hit!”",1,0
Never seen this guy score a bad goal,1,0
It’s all well and good England being 220-2 but as always we will end up being all out for less than 350/400.,1,0
Tbf it might be a chance to look at next seasons squad 👀,1,0
I’d rather Mark Drakeford drunk on power than Bozo drunk on cheese and wine to be honest with you Jim.,1,0
This is the same in all capitalist nations.,1,0
Do u know how musically talented u have to be to play this with 0 mistakes 😭,1,0
Ring Spurs Managers they will fill you in Brendan lad👍🏻,1,0
Well he can f**k right off,1,0
"Dirty - Christina Aguilera 

I’ll take it 😏",1,0
Money is going to locate me today . Claiming this,1,0
I’m sure there’s an explanation….. I mean there must be right?,1,0
I just know the government is gonna lock us all down in spite because they can’t have their Xmas party,1,0
From the man who helped make it so. Amazing how this bunch won't own their mistakes.,1,0
"Mercedes’ either lost a lot of pace or red bull found a lot, interesting tomorrow with red bull starting on the softs.",1,0
No of course not because there are no decent people involved in these attacks on him,1,0
"Smashing records and recently won a race by 38 seconds.

Does anyone genuinely think this is fair?",1,0
Nice step yup yup up ⬆️,1,0
How many jabs do you want us to have? 10? 20?,1,0
"And when he leaves, don't bring him to United 👍 
Don't forget to have an auction for Pogba too",1,0
“Safety measures” ???? Are they safe? Where’s the long-term safety data ?,1,0
And now Roberts is called for tripping,1,0
And now doubled with further rises in the pipeline.,1,0
Pretty much sums it up 👌!,1,0
The universe could not stop the invention of the saxophone,1,0
This really is great news for such a worthy winner. Well done to the whole brilliant team at Windwave.,1,0
One game / year with an opinion💀,1,0
No one with a brain can Denise,1,0
If I had to die or live in Newham I would literally hang myself,1,0
What about the mentally ill 👇👇👇👇👇👇👇👇,1,0
Starting on softs? Hmm.. wouldn’t make him favourite..,1,0
Pogba FC want him to stay still 🤣,1,0
"Once again the government tell us to do as they say, not as they do.",1,0
