tweet,true_label,model_label,model_prob
"Size on the the Toulouse team, That pack is monstrous.

I can't see a Welsh region ever winning this, Money talks as they say .",0,0,0.90245056
Pinball!,0,0,0.951446
So the Scottish Government want people to get their booster shots so badly that the website doesn't even work,1,0,0.7378103
villainous pro tip : change the device name on her bluetooth devices so she doesn’t forget u,0,0,0.60204387
I would date any of these men 🥺,0,0,0.55266947
"If there's one fictional place I could go, Christmas at Hogwarts would be that place",0,0,0.8751357
"I mean, it's a great cause they're doing it for, but can we not have new Xmas music that's... well... good?!",0,0,0.57896584
Where did they get 1.22xg from without the pen?!,0,0,0.9357131
"There was so much interest in your Venice series Peg, the hand colouring is exquisite!👌🏽👏🏽👍🏽",0,0,0.95427287
"Sometimes I lay in bed and think about how today will be the day I make my life better. Exercise, drinking water, eating healthy. Then I wake up. ",1,0,0.9786321
This does not surprise me! Kat is a PR queen 👑💕🌟👏🏻,0,1,0.87410915
Also a shame that most of our media are ignoring this but prefer to report on studies by scientists whose modelling has been proved wrong again and again!,0,1,0.79644555
"Bercow doesn't hold back, does he?",0,0,0.7388261
"Wow, Chelsea bean beaten by West Ham, that was a day I had been looking forward to for a while.",0,1,0.7850463
If anyone in the UK needs the workaround to get F1TV Pro Access DM me 🙏🏻,0,0,0.96860296
Just been refused some headache tablets because apparently I look younger than 16. Sixteen. Six. Teen,0,1,0.7161425
Top tip - worked for me. Appointments available as early as tomorrow.,0,1,0.9610702
A 12-8 shift has to be one of the worst out there,0,0,0.9731103
Beauty of wearing a mask isn’t that it’s just the responsible thing to do is that it’s another layer of warmth on my freezing trips to work,0,0,0.9345423
"20:00 GMT:
Temp: 13.7°C,
Wind: SSW, 3 mph (ave), 8 mph (gust),
Humidity: 92%,
Rain (hourly) 0.0 mm,
Pressure: 1017 hPa, rising slowly",0,0,0.93837124
"🙈🙈nitey nite twitter.
I’m done now with all the bad news.
Have a good evening all x",0,1,0.5238402
"Max Verstappen is such a clean driver, he never makes dirty moves when racing.",1,1,0.57901907
"I can just about remember the two Newcastle stores, in Pilgrim Street and Eldon Square 👇",0,0,0.975529
Attempting to get to the Radisson Hotel beside Heathrow by foot and the route google gave me led to a road with no footpath -_-,0,0,0.9775275
"Jerry Thompson, forever MOTM ❤️ 2 years already, thoughts with his family and friends today",0,0,0.98756194
"People don’t need to wear masks or distance in pubs and bars, but COVID will still spread in these places.",0,0,0.983606
Not on your life! Can you have democracy for the many given out by the few?,0,1,0.5399968
The farewell meet at Glasgow was emotional :'),0,0,0.9888355
"Brrrr it's cold outside...

I love it!",0,1,0.61958045
"Today my last day at work this year, was like a holiday. Thanks for the well wishes of yesterday. I’m now looking ahead to the new year….🙏",0,0,0.98760843
Some good work in here .,0,1,0.8042727
Did anyone on my twitter even get tickets for the SOUR tour?,0,0,0.9665764
"Check out the tweet below for a pic of a bauble.
Is it acceptable?",0,1,0.8260853
"16:00 GMT:
Temp: 9.5°C,
Wind: NNW, 8 mph (ave), 17 mph (gust),
Humidity: 63%,
Rain (hourly) 1.5 mm,
Pressure: 1005 hPa, rising",0,0,0.93432665
I think I’ve had more wine than food since being in England 😵‍💫😂,0,0,0.9806888
Boris looked so statesman-like in that public address,1,0,0.98087263
